song,listeners,streams,saves,release_date
"Triple Major",46839,136234,5554,2017-02-17
"Sunrise",22045,38398,1268,2017-02-17
"Fine Art",1454,4876,518,2017-02-17
"Don't Stop",863,3387,339,2017-02-17
"peaK",866,2874,335,2017-02-17
"Sposed To Do",208,611,85,2018-05-25
"Sunrise (Acoustic)",165,588,46,2018-09-06
"Road Rage",159,408,31,2018-01-30
"Church",162,255,60,2018-06-10
"Try 2 Hard",136,231,30,2018-05-25
"Sunrise (Remix)",53,109,34,2018-09-06
"Leave (Get Out)",14,20,2,2018-08-27
"Blowin' in the Wind",6,11,3,2018-08-27
